"","C","A","H","W","B","O","arg","k_val","dm"
"1",5,2,2,1,1,1,"C5, A2, H2, W1, B1, O1",3,15248
"2",5,1,2,2,1,1,"C5, A1, H2, W2, B1, O1",7,15760
"3",5,2,2,2,1,1,"C5, A2, H2, W2, B1, O1",7,21228
"4",4,2,2,1,2,1,"C4, A2, H2, W1, B2, O1",3,13108
"5",5,2,2,1,2,1,"C5, A2, H2, W1, B2, O1",3,23908
"6",4,2,1,2,2,1,"C4, A2, H1, W2, B2, O1",4,12444
"7",5,2,1,2,2,1,"C5, A2, H1, W2, B2, O1",4,22788
"8",3,1,2,2,2,1,"C3, A1, H2, W2, B2, O1",6,9428
"9",4,1,2,2,2,1,"C4, A1, H2, W2, B2, O1",6,14908
"10",5,1,2,2,2,1,"C5, A1, H2, W2, B2, O1",20,26526
"11",1,2,2,2,2,1,"C1, A2, H2, W2, B2, O1",6,5948
"12",2,2,2,2,2,1,"C2, A2, H2, W2, B2, O1",10,11000
"13",3,2,2,2,2,1,"C3, A2, H2, W2, B2, O1",15,12720
"14",4,2,2,2,2,1,"C4, A2, H2, W2, B2, O1",39,20044
"15",5,2,2,2,2,1,"C5, A2, H2, W2, B2, O1",84,35956
"16",5,2,1,1,1,2,"C5, A2, H1, W1, B1, O2",6,20968
"17",5,2,2,1,1,2,"C5, A2, H2, W1, B1, O2",6,25092
"18",3,2,1,2,1,2,"C3, A2, H1, W2, B1, O2",3,8288
"19",4,2,1,2,1,2,"C4, A2, H1, W2, B1, O2",3,12376
"20",5,2,1,2,1,2,"C5, A2, H1, W2, B1, O2",13,23324
"21",5,1,2,2,1,2,"C5, A1, H2, W2, B1, O2",7,21318
"22",1,2,2,2,1,2,"C1, A2, H2, W2, B1, O2",7,5378
"23",2,2,2,2,1,2,"C2, A2, H2, W2, B1, O2",11,9774
"24",3,2,2,2,1,2,"C3, A2, H2, W2, B1, O2",28,11524
"25",4,2,2,2,1,2,"C4, A2, H2, W2, B1, O2",32,17748
"26",5,2,2,2,1,2,"C5, A2, H2, W2, B1, O2",112,32708
"27",4,2,1,1,2,2,"C4, A2, H1, W1, B2, O2",5,18632
"28",5,2,1,1,2,2,"C5, A2, H1, W1, B2, O2",13,35468
"29",2,2,2,1,2,2,"C2, A2, H2, W1, B2, O2",5,12552
"30",3,2,2,1,2,2,"C3, A2, H2, W1, B2, O2",12,14992
"31",4,2,2,1,2,2,"C4, A2, H2, W1, B2, O2",13,23404
"32",5,2,2,1,2,2,"C5, A2, H2, W1, B2, O2",50,44116
"33",4,1,1,2,2,2,"C4, A1, H1, W2, B2, O2",3,13220
"34",5,1,1,2,2,2,"C5, A1, H1, W2, B2, O2",3,24290
"35",1,2,1,2,2,2,"C1, A2, H1, W2, B2, O2",3,6416
"36",2,2,1,2,2,2,"C2, A2, H1, W2, B2, O2",3,11752
"37",3,2,1,2,2,2,"C3, A2, H1, W2, B2, O2",13,14320
"38",4,2,1,2,2,2,"C4, A2, H1, W2, B2, O2",13,22124
"39",5,2,1,2,2,2,"C5, A2, H1, W2, B2, O2",58,41780
"40",1,1,2,2,2,2,"C1, A1, H2, W2, B2, O2",4,6196
"41",2,1,2,2,2,2,"C2, A1, H2, W2, B2, O2",4,11408
"42",3,1,2,2,2,2,"C3, A1, H2, W2, B2, O2",17,13270
"43",4,1,2,2,2,2,"C4, A1, H2, W2, B2, O2",32,21618
"44",5,1,2,2,2,2,"C5, A1, H2, W2, B2, O2",69,38986
"45",1,2,2,2,2,2,"C1, A2, H2, W2, B2, O2",21,9896
"46",2,2,2,2,2,2,"C2, A2, H2, W2, B2, O2",25,18334
"47",3,2,2,2,2,2,"C3, A2, H2, W2, B2, O2",74,21684
"48",4,2,2,2,2,2,"C4, A2, H2, W2, B2, O2",92,34708
"49",5,2,2,2,2,2,"C5, A2, H2, W2, B2, O2",254,64516
